# Site-path triage. One line per reviewed occurrence.
# class: EXECUTABLE (must be converted to the path registry) | EVIDENCE (citation, keep)
# Keyed by content hash — editing the line forces re-review.
#file	class	hash	excerpt
plugins/bio-guardrails/tests/test_hooks.sh	EVIDENCE	7fb77a0bf2b1c2cf904efd1f8f8d0857	check block-dangerous-commands.sh 2 "rm -rf on data root"        "$(bash_cmd 'rm -rf /data1/greenbab/db')"
plugins/bio-guardrails/tests/test_hooks.sh	EVIDENCE	8c8fd875b4f43ac757ae5fa6e12d9e99	check warn-absolute-paths.sh    0 "absolute path warns only"      "$(write_file 'src/a.py' 'p = \"/data1/x\"')"
plugins/bio-guardrails/README.md	EVIDENCE	0bd10c94a73831ca69718336f45cc515	Two hooks contain a site-specific data root (`/data1/...`) in their match
plugins/bio-guardrails/hooks/warn-absolute-paths.sh	EVIDENCE	7fcb8043e157914498e64f1c0ac312a9	# Check for /data1/ or /home/ absolute paths (common on MSKCC HPC)
plugins/bio-guardrails/hooks/warn-absolute-paths.sh	EVIDENCE	86c8f27bfad6c112eedd5169ee098066	if echo "$NEW_STRING" | grep -qE '"/data1/|"/home/|= /data1/|= /home/'; then
plugins/bio-guardrails/hooks/log-slurm-submission.sh	EXECUTABLE	be262cc62d8e266bee81cf61a065ba96	LOG_FILE="${SLURM_JOB_LOG:-/data1/greenbab/users/ahunos/slurm_logs/claude_submissions.md}"
plugins/hpc-site/README.md	EVIDENCE	1aa200baab43f09bdd31c04927324f3f	Site configuration for one SLURM cluster: MSKCC HPC, Greenbaum Lab (`greenbab`),
plugins/hpc-site/skills/mskcc-hpc/references/gnu_time.md	EVIDENCE	ae95064f8e72462a3697315b7ba31177	- **Don't hardcode `/usr/bin/time` in benchmark wrappers.** Resolve dynamically: prefer a sibling of the tool's binary (
plugins/hpc-site/skills/mskcc-hpc/references/vllm_iris.md	EVIDENCE	e162f1e6b4dd0a4a50dd7a97bcffd7ba	## Partition + GPU selection (greenbab)
plugins/hpc-site/skills/mskcc-hpc/references/mskcc_partitions.md	EVIDENCE	1857a55286fd859514063594ae161520	- **The cluster default partition `cpu` is DENIED for the `greenbab` account.** Confirmed 2026-05-05: `scontrol show par
plugins/hpc-site/skills/mskcc-hpc/references/mskcc_partitions.md	EVIDENCE	cd17d093003df55518124191a4f679bb	- **Use `cpushort` for short benchmark/exploration/per-sample jobs**, not `componc_cpu`. componc_cpu is project-specific
plugins/hpc-site/skills/mskcc-hpc/references/mskcc_partitions.md	EVIDENCE	71e70e8c78ad574b81e4d4b4da08f1ba	- **Other usable partitions when cpushort is busy**: `componc_cpu` (same hardware tier, 7-day limit, project-allocated f
plugins/hpc-site/skills/mskcc-hpc/references/mskcc_partitions.md	EVIDENCE	071f8cea856823ae8596acc98b78473d	- **Quick check before submitting**: `mcp__slurm__slurm_queue_info partition=cpushort` shows idle/mixed/allocated node c
plugins/hpc-site/skills/mskcc-hpc/references/apptainer_vs_conda.md	EVIDENCE	ef15fbf84cad320f9178d20102324eb6	- **For short, high-fan-out HTSlib/samtools/bcftools/htslib-tool invocations on MSKCC HPC, prefer the apptainer SIF over
plugins/hpc-site/skills/mskcc-hpc/references/apptainer_vs_conda.md	EVIDENCE	670c8055295d820d44c8d0f1e82f262a	- **How to apply in pipelines**: in Snakemake/Nextflow rules wrapping samtools/bcftools/htslib/modkit/dorado, use the `c
plugins/hpc-site/skills/mskcc-hpc/references/apptainer_vs_conda.md	EVIDENCE	ee52a2835f8d90469e26da6cf08731c8	- **Container catalogue**: `/data1/greenbab/users/ahunos/apps/containers/`. Authoritative paths registered in the user's
plugins/hpc-site/skills/mskcc-hpc/references/slurm_mcp.md	EVIDENCE	d829bf2abb3feffc208eabb97399c76c	- **`mcp__slurm__slurm_submit_batch` injects fixed defaults on the sbatch cmdline** that override `#SBATCH` directives i
plugins/hpc-site/skills/mskcc-hpc/references/slurm_mcp.md	EVIDENCE	85efc8715b506365a31bd166e1cbb991	- **mcp redirects logs to `/home/ahunos/slurm_logs/`** regardless of `#SBATCH --output` in the script. Read logs from th
plugins/hpc-site/skills/mskcc-hpc/references/slurm_mcp.md	EVIDENCE	6a4e7e9592fe2276a90ca406647b7a9c	- **Account is auto-injected** by mcp; for direct sbatch you may need `#SBATCH --account=greenbab` explicitly (the execu
plugins/hpc-site/skills/mskcc-hpc/SKILL.md	EVIDENCE	5d56c14cb852e68eff71e9c0fff09132	  account `greenbab`). Use when submitting or debugging SLURM jobs on this
plugins/hpc-site/skills/mskcc-hpc/SKILL.md	EVIDENCE	f2508d87dc219997512208d8c70628fc	| Choosing a partition; `sbatch` fails with "Invalid account or account/partition combination" | `references/mskcc_parti
plugins/hpc-site/profiles/test_resolve.sh	EVIDENCE	3612fcbe564ea2dc07101f32338ce87f	eq "dotted key lookup"                       "/data1/greenbab/users/ahunos/apptainer_cache" "$(site_path containers.cach
plugins/bio-skills/scripts/check_genome_consistency.py	EXECUTABLE	f4f1bd8b3640fa45b3824c72f6fa86fd	    db_config_path = "/data1/greenbab/users/ahunos/apps/llm_configs/databases_config.yaml"
plugins/bio-skills/skills/igv-screenshots/references/gotchas.md	EVIDENCE	74284007cb67dff0726fe5ff38098e01	- **Bind paths** must cover both the data location and the project location. For our setup: `apptainer exec --bind /data
plugins/bio-skills/skills/igv-screenshots/SKILL.md	EXECUTABLE	224152ce080259a7a008e7ac6e4d8106	--bind /data1/project,/data1/references,/home
plugins/bio-skills/skills/igv-screenshots/SKILL.md	EXECUTABLE	7d4f86012ce869e641f0b023d9b7be13	- **igver source:** `/data1/greenbab/users/ahunos/apps/igver/`
plugins/bio-skills/skills/snakemake/evals/evals.json	EVIDENCE	6e61c984d9a8ca842f2f7d4bb3714da4	      "prompt": "I have 20 ONT WGS BAMs that I need to run modkit pileup on, restricted to a BED file of CpG islands. Ca
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-2-slurm-debug/with_skill/grading.json	EVIDENCE	51eaf884a1fa5ee36029b204474f0230	      "evidence": "Response includes slurm_account: greenbab in corrected profile and warns about silent rejection"
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-2-slurm-debug/with_skill/outputs/response.md	EVIDENCE	16bf734ee1de24d1b0bbb7147d3f4b83	  slurm_account: greenbab
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-2-slurm-debug/with_skill/outputs/response.md	EVIDENCE	9008957aacc32eaa669beedcad590255	#SBATCH --account=greenbab
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-2-slurm-debug/with_skill/outputs/corrected_profile.yaml	EVIDENCE	16bf734ee1de24d1b0bbb7147d3f4b83	  slurm_account: greenbab
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/grading.json	EVIDENCE	62c00ad83f1b0488453cca2cbcc553b5	      "evidence": "Line 14 of profile: slurm_account: \"greenbab\""
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/run_snakemake.sh	EVIDENCE	9008957aacc32eaa669beedcad590255	#SBATCH --account=greenbab
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/run_snakemake.sh	EVIDENCE	7373a4a643af7375971b495ca8d42fea	SNAKEFILE="/data1/greenbab/users/ahunos/apps/llm_configs/claude/skills/snakemake/evals/snakemake-workspace/iteration-1/e
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/run_snakemake.sh	EVIDENCE	63c49100fec2ee8be32c85e22f6a80cb	CONFIGFILE="/data1/greenbab/users/ahunos/apps/llm_configs/claude/skills/snakemake/evals/snakemake-workspace/iteration-1/
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/run_snakemake.sh	EVIDENCE	96bcc1be2c35d1b6aaa4d6b24d311e91	PROFILE="/data1/greenbab/users/ahunos/apps/llm_configs/claude/skills/snakemake/evals/snakemake-workspace/iteration-1/eva
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/profiles/slurm/config.yaml	EVIDENCE	b436f91a13881c9a9c88b16bbb6c7ccd	    slurm_account: "greenbab"
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/profiles/slurm/config.yaml	EVIDENCE	b436f91a13881c9a9c88b16bbb6c7ccd	        slurm_account: "greenbab"
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/profiles/slurm/config.yaml	EVIDENCE	b436f91a13881c9a9c88b16bbb6c7ccd	        slurm_account: "greenbab"
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/profiles/slurm/config.yaml	EVIDENCE	ae07bd9eb99a7d2d887d154aafa0dd9e	singularity-args: "--bind /data1/greenbab/"
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/config_template.yaml	EVIDENCE	d0234cc3c0c6eed48957c5ede54e522c	sample_manifest: "/data1/greenbab/projects/my_project/samples.tsv"
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/config_template.yaml	EVIDENCE	ba75c70b5c65ef6fef5ac90e362358b6	# hg38: /data1/greenbab/database/hg38/v0/Homo_sapiens_assembly38.fasta
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/config_template.yaml	EVIDENCE	a48a73a5231afacc92e9c63cdf220451	ref_fasta: "/data1/greenbab/database/hg38/v0/Homo_sapiens_assembly38.fasta"
plugins/bio-skills/skills/snakemake/evals/snakemake-workspace/iteration-1/eval-1-modkit-workflow/with_skill/outputs/config_template.yaml	EVIDENCE	a4fc9c5a35dbbefd4f7c1ff2d08598c7	img_modkit: "/data1/greenbab/software/images/onttools_v3.9.sif"
plugins/bio-skills/skills/snakemake/references/slurm_profiles.md	EXECUTABLE	b436f91a13881c9a9c88b16bbb6c7ccd	    slurm_account: "greenbab"
plugins/bio-skills/skills/snakemake/references/slurm_profiles.md	EXECUTABLE	5e037642153841289394bbaaf6083c37	singularity-args: "--bind /data1/greenbab/,/data1/collab001/"
plugins/bio-skills/skills/snakemake/references/slurm_profiles.md	EXECUTABLE	b436f91a13881c9a9c88b16bbb6c7ccd	    slurm_account: "greenbab"
plugins/bio-skills/skills/snakemake/references/slurm_profiles.md	EXECUTABLE	5e037642153841289394bbaaf6083c37	singularity-args: "--bind /data1/greenbab/,/data1/collab001/"
plugins/bio-skills/skills/snakemake/references/slurm_profiles.md	EXECUTABLE	b436f91a13881c9a9c88b16bbb6c7ccd	    slurm_account: "greenbab"
plugins/bio-skills/skills/snakemake/references/slurm_profiles.md	EXECUTABLE	5e037642153841289394bbaaf6083c37	singularity-args: "--bind /data1/greenbab/,/data1/collab001/"
plugins/bio-skills/skills/snakemake/references/slurm_profiles.md	EVIDENCE	dd11ec571955546d32b1f998afd7c5b2	| 3 | Missing `slurm_account` in default-resources | Silent job rejection (no error in Snakemake log) | Always set `slur
plugins/bio-skills/skills/snakemake/references/config_template.md	EXECUTABLE	2008ec2c54d32f1fb96d9a309e6ee9f9	export APPTAINER_CACHEDIR=/data1/greenbab/users/ahunos/apptainer_cache
plugins/bio-skills/skills/snakemake/references/config_template.md	EXECUTABLE	7776a85479324c8781d99606cef10887	    --singularity-args "--bind /data1/greenbab/,/data1/collab001/" \
plugins/bio-skills/skills/singularity-build/references/build_guide.md	EXECUTABLE	fdc813cdf6f81c4c4d0f5fc3ce24ae04	PROJECT_DIR="/data1/greenbab/users/ahunos/path/to/project"
plugins/bio-skills/skills/singularity-build/references/build_guide.md	EXECUTABLE	659ddd70ce19860674ac110a1fbd77fb	5.4. **Always set `APPTAINER_CACHEDIR`** to a path on the shared filesystem (e.g., `/data1/greenbab/users/ahunos/apptain
plugins/bio-skills/skills/singularity-build/references/build_guide.md	EXECUTABLE	2008ec2c54d32f1fb96d9a309e6ee9f9	export APPTAINER_CACHEDIR=/data1/greenbab/users/ahunos/apptainer_cache
plugins/bio-skills/skills/singularity-build/scripts/diagnose_build_log.sh	EVIDENCE	115ce952bcf566f39aeb5869b632cfb0	#   diagnose_build_log.sh /home/ahunos/slurm_logs/build_tool_12345.out
plugins/bio-skills/skills/singularity-build/scripts/diagnose_build_log.sh	EXECUTABLE	e7b776f91e1012730f43700ca080093b	  PROJECT_DIR=\"/data1/greenbab/users/ahunos/path/to/project\""
plugins/bio-skills/skills/singularity-build/scripts/generate_build_script.sh	EXECUTABLE	dc53007e0af815f0b8e65e526d1b283a	#     --project-dir /data1/greenbab/users/ahunos/project
plugins/bio-skills/skills/singularity-build/scripts/generate_build_script.sh	EXECUTABLE	dc373d54eb4c13e0dbb6088071b141d0	#     --project-dir /data1/greenbab/users/ahunos/project \
plugins/bio-skills/skills/singularity-build/scripts/generate_build_script.sh	EXECUTABLE	2008ec2c54d32f1fb96d9a309e6ee9f9	export APPTAINER_CACHEDIR=/data1/greenbab/users/ahunos/apptainer_cache
plugins/bio-skills/skills/singularity-build/SKILL.md	EXECUTABLE	cca0d25350fc114fb57cfdcfa64bb100	  --project-dir /data1/greenbab/users/ahunos/project
plugins/bio-skills/skills/singularity-build/SKILL.md	EXECUTABLE	ed4e25ff31c86b7b738fd80becd8d1e6	  --project-dir /data1/greenbab/users/ahunos/project \
plugins/bio-skills/skills/singularity-build/SKILL.md	EVIDENCE	f637c3a2db45d574724cf0b64627a912	scripts/diagnose_build_log.sh /home/ahunos/slurm_logs/build_tool_12345.out
plugins/bio-skills/skills/singularity-build/SKILL.md	EXECUTABLE	2008ec2c54d32f1fb96d9a309e6ee9f9	export APPTAINER_CACHEDIR=/data1/greenbab/users/ahunos/apptainer_cache
plugins/bio-skills/skills/analysis-gotchas/references/clair3.md	EVIDENCE	9cb9f18b39eb31f1b16b31a7a81e3bcb	- **`--use_whatshap_for_final_output_phasing` defaults to True; it CANNOT be cleanly disabled via the CLI**. Confirmed 2
