script_path	language	severity	rule	sites	note
02_apm_methylation_analysis.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
02_apm_methylation_analysis.R	R	WARNING	relative-paths-only	11,15,19,23	4 CLI defaults are absolute paths
02_apm_methylation_analysis.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
02_apm_methylation_analysis.R	R	OK	raw-data-write		compliance check passed: raw-data-write
02_apm_methylation_analysis.R	R	OK	header-preserved		compliance check passed: header-preserved
02_apm_methylation_analysis.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
02_apm_methylation_analysis.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
02_apm_methylation_analysis.R	R	NOTE	pair-binding-coverage		3 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --peptide_counts, --tpm
03_apm_methylation_all36.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
03_apm_methylation_all36.R	R	WARNING	relative-paths-only	12,16,20	3 CLI defaults are absolute paths
03_apm_methylation_all36.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
03_apm_methylation_all36.R	R	OK	raw-data-write		compliance check passed: raw-data-write
03_apm_methylation_all36.R	R	OK	header-preserved		compliance check passed: header-preserved
03_apm_methylation_all36.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
03_apm_methylation_all36.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
03_apm_methylation_all36.R	R	NOTE	pair-binding-coverage		2 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --tpm
04_cta_demethylation_analysis.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
04_cta_demethylation_analysis.R	R	WARNING	relative-paths-only	12,16,20,24	4 CLI defaults are absolute paths
04_cta_demethylation_analysis.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
04_cta_demethylation_analysis.R	R	OK	raw-data-write		compliance check passed: raw-data-write
04_cta_demethylation_analysis.R	R	OK	header-preserved		compliance check passed: header-preserved
04_cta_demethylation_analysis.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
04_cta_demethylation_analysis.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
04_cta_demethylation_analysis.R	R	NOTE	pair-binding-coverage		4 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --peptide_counts, --tpm, --meth_threshold
05_plot_peptide_distribution.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
05_plot_peptide_distribution.R	R	WARNING	relative-paths-only	15,19	2 CLI defaults are absolute paths
05_plot_peptide_distribution.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
05_plot_peptide_distribution.R	R	OK	raw-data-write		compliance check passed: raw-data-write
05_plot_peptide_distribution.R	R	OK	header-preserved		compliance check passed: header-preserved
05_plot_peptide_distribution.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
05_plot_peptide_distribution.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
05_plot_peptide_distribution.R	R	NOTE	pair-binding-coverage		1 analysis CLI option(s) not bound by launcher (will use defaults): --peptide_counts
06_apm_trimodal_distributions.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
06_apm_trimodal_distributions.R	R	WARNING	relative-paths-only	17,21,25,29	4 CLI defaults are absolute paths
06_apm_trimodal_distributions.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
06_apm_trimodal_distributions.R	R	OK	raw-data-write		compliance check passed: raw-data-write
06_apm_trimodal_distributions.R	R	OK	header-preserved		compliance check passed: header-preserved
06_apm_trimodal_distributions.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
06_apm_trimodal_distributions.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
06_apm_trimodal_distributions.R	R	NOTE	pair-binding-coverage		3 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --peptide_counts, --tpm
07_q2_strengthen_apm_tests.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
07_q2_strengthen_apm_tests.R	R	WARNING	relative-paths-only	21,25,29,33	4 CLI defaults are absolute paths
07_q2_strengthen_apm_tests.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
07_q2_strengthen_apm_tests.R	R	OK	raw-data-write		compliance check passed: raw-data-write
07_q2_strengthen_apm_tests.R	R	OK	header-preserved		compliance check passed: header-preserved
07_q2_strengthen_apm_tests.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
07_q2_strengthen_apm_tests.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
07_q2_strengthen_apm_tests.R	R	NOTE	pair-binding-coverage		3 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --peptide_counts, --tpm
08_q3_global_methylation_diversity.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
08_q3_global_methylation_diversity.R	R	WARNING	relative-paths-only	21,25,29,33	4 CLI defaults are absolute paths
08_q3_global_methylation_diversity.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
08_q3_global_methylation_diversity.R	R	OK	raw-data-write		compliance check passed: raw-data-write
08_q3_global_methylation_diversity.R	R	OK	header-preserved		compliance check passed: header-preserved
08_q3_global_methylation_diversity.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
08_q3_global_methylation_diversity.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
08_q3_global_methylation_diversity.R	R	NOTE	pair-binding-coverage		6 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --peptide_counts, --tpm, --top_n, --hyper_threshold, --hypo_threshold
09_q1_mediation_analysis.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
09_q1_mediation_analysis.R	R	WARNING	relative-paths-only	25,29,33,37	4 CLI defaults are absolute paths
09_q1_mediation_analysis.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
09_q1_mediation_analysis.R	R	OK	raw-data-write		compliance check passed: raw-data-write
09_q1_mediation_analysis.R	R	OK	header-preserved		compliance check passed: header-preserved
09_q1_mediation_analysis.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
09_q1_mediation_analysis.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
09_q1_mediation_analysis.R	R	NOTE	pair-binding-coverage		4 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --peptide_counts, --tpm, --n_boot
10_q1_pooled_mediation_summary.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
10_q1_pooled_mediation_summary.R	R	WARNING	relative-paths-only	19,21,23,25	4 CLI defaults are absolute paths
10_q1_pooled_mediation_summary.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
10_q1_pooled_mediation_summary.R	R	OK	raw-data-write		compliance check passed: raw-data-write
10_q1_pooled_mediation_summary.R	R	OK	header-preserved		compliance check passed: header-preserved
10_q1_pooled_mediation_summary.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
10_q1_pooled_mediation_summary.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
10_q1_pooled_mediation_summary.R	R	NOTE	pair-binding-coverage		4 analysis CLI option(s) not bound by launcher (will use defaults): --methylation_wide, --peptide_counts, --tpm, --n_boot
11_q9_apm_methylation_io_response.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
11_q9_apm_methylation_io_response.R	R	WARNING	relative-paths-only	19,22,25,28,31,34,37	7 CLI defaults are absolute paths
11_q9_apm_methylation_io_response.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
11_q9_apm_methylation_io_response.R	R	OK	raw-data-write		compliance check passed: raw-data-write
11_q9_apm_methylation_io_response.R	R	OK	header-preserved		compliance check passed: header-preserved
11_q9_apm_methylation_io_response.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
11_q9_apm_methylation_io_response.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
11_q9_apm_methylation_io_response.R	R	NOTE	pair-binding-coverage		7 analysis CLI option(s) not bound by launcher (will use defaults): --apm_burden, --apm_pergene, --peptide_diversity, --global_meth, --cta_merged, --metadata, --cta_demeth_threshold
12_purity_sensitivity.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
12_purity_sensitivity.R	R	WARNING	relative-paths-only	19,23,27,31	4 CLI defaults are absolute paths
12_purity_sensitivity.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
12_purity_sensitivity.R	R	OK	raw-data-write		compliance check passed: raw-data-write
12_purity_sensitivity.R	R	OK	header-preserved		compliance check passed: header-preserved
12_purity_sensitivity.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
12_purity_sensitivity.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
12_purity_sensitivity.R	R	NOTE	pair-binding-coverage		3 analysis CLI option(s) not bound by launcher (will use defaults): --q9_merged, --q1_pergene, --q1_3way
12b_msi_tmb_effect_modification.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
12b_msi_tmb_effect_modification.R	R	WARNING	relative-paths-only	20,23	2 CLI defaults are absolute paths
12b_msi_tmb_effect_modification.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
12b_msi_tmb_effect_modification.R	R	OK	raw-data-write		compliance check passed: raw-data-write
12b_msi_tmb_effect_modification.R	R	OK	header-preserved		compliance check passed: header-preserved
12b_msi_tmb_effect_modification.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
12b_msi_tmb_effect_modification.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
12b_msi_tmb_effect_modification.R	R	NOTE	pair-binding-coverage		1 analysis CLI option(s) not bound by launcher (will use defaults): --q9_merged
13_build_epdnew_promoters.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
13_build_epdnew_promoters.R	R	WARNING	relative-paths-only	17,19,22,31,33	5 CLI defaults are absolute paths
13_build_epdnew_promoters.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
13_build_epdnew_promoters.R	R	OK	raw-data-write		compliance check passed: raw-data-write
13_build_epdnew_promoters.R	R	BLOCKER	header-preserved	93	1 read call(s) drop headers explicitly (header=FALSE / col.names=FALSE)
13_build_epdnew_promoters.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
13_build_epdnew_promoters.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
14b_build_matrices.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
14b_build_matrices.R	R	WARNING	relative-paths-only	20,22,24,26,28	5 CLI defaults are absolute paths
14b_build_matrices.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
14b_build_matrices.R	R	OK	raw-data-write		compliance check passed: raw-data-write
14b_build_matrices.R	R	OK	header-preserved		compliance check passed: header-preserved
14b_build_matrices.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
14b_build_matrices.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
14b_build_matrices.R	R	NOTE	pair-binding-coverage		5 analysis CLI option(s) not bound by launcher (will use defaults): --sample_sheet, --cpg_dir, --promoter_dir, --outdir, --log_dir
15_rerun_q2_q9_epdnew.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
15_rerun_q2_q9_epdnew.R	R	WARNING	relative-paths-only	24,26,28,30	4 CLI defaults are absolute paths
15_rerun_q2_q9_epdnew.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
15_rerun_q2_q9_epdnew.R	R	OK	raw-data-write		compliance check passed: raw-data-write
15_rerun_q2_q9_epdnew.R	R	OK	header-preserved		compliance check passed: header-preserved
15_rerun_q2_q9_epdnew.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
15_rerun_q2_q9_epdnew.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
16_compare_definitions.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
16_compare_definitions.R	R	WARNING	relative-paths-only	14,16,19,21	4 CLI defaults are absolute paths
16_compare_definitions.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
16_compare_definitions.R	R	OK	raw-data-write		compliance check passed: raw-data-write
16_compare_definitions.R	R	OK	header-preserved		compliance check passed: header-preserved
16_compare_definitions.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
16_compare_definitions.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
17_epdnew_figures.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
17_epdnew_figures.R	R	OK	relative-paths-only		compliance check passed: relative-paths-only
17_epdnew_figures.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
17_epdnew_figures.R	R	OK	raw-data-write		compliance check passed: raw-data-write
17_epdnew_figures.R	R	OK	header-preserved		compliance check passed: header-preserved
17_epdnew_figures.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
17_epdnew_figures.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
18_q1_pdia3_epdnew_sensitivity.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
18_q1_pdia3_epdnew_sensitivity.R	R	OK	relative-paths-only		compliance check passed: relative-paths-only
18_q1_pdia3_epdnew_sensitivity.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
18_q1_pdia3_epdnew_sensitivity.R	R	OK	raw-data-write		compliance check passed: raw-data-write
18_q1_pdia3_epdnew_sensitivity.R	R	OK	header-preserved		compliance check passed: header-preserved
18_q1_pdia3_epdnew_sensitivity.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
18_q1_pdia3_epdnew_sensitivity.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
19_q11_meth_vs_tpm_epdnew.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
19_q11_meth_vs_tpm_epdnew.R	R	OK	relative-paths-only		compliance check passed: relative-paths-only
19_q11_meth_vs_tpm_epdnew.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
19_q11_meth_vs_tpm_epdnew.R	R	OK	raw-data-write		compliance check passed: raw-data-write
19_q11_meth_vs_tpm_epdnew.R	R	OK	header-preserved		compliance check passed: header-preserved
19_q11_meth_vs_tpm_epdnew.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
19_q11_meth_vs_tpm_epdnew.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
21_genomewide_meth_vs_tpm.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
21_genomewide_meth_vs_tpm.R	R	OK	relative-paths-only		compliance check passed: relative-paths-only
21_genomewide_meth_vs_tpm.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
21_genomewide_meth_vs_tpm.R	R	OK	raw-data-write		compliance check passed: raw-data-write
21_genomewide_meth_vs_tpm.R	R	OK	header-preserved		compliance check passed: header-preserved
21_genomewide_meth_vs_tpm.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
21_genomewide_meth_vs_tpm.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
22_lm_meth_to_rna_apm.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
